data,Disease
acidity  indigestion  headache  blurredanddistortedvision  excessivehunger  stiffneck  depression  irritability  visualdisturbances,Migraine
indigestion  headache  blurredanddistortedvision  excessivehunger  stiffneck  depression  irritability  visualdisturbances,Migraine
acidity  headache  blurredanddistortedvision  excessivehunger  stiffneck  depression  irritability  visualdisturbances,Migraine
acidity  indigestion  blurredanddistortedvision  excessivehunger  stiffneck  depression  irritability  visualdisturbances,Migraine
acidity  indigestion  headache  excessivehunger  stiffneck  depression  irritability  visualdisturbances,Migraine
acidity  indigestion  headache  blurredanddistortedvision  stiffneck  depression  irritability  visualdisturbances,Migraine
acidity  indigestion  headache  blurredanddistortedvision  excessivehunger  depression  irritability  visualdisturbances,Migraine
acidity  indigestion  headache  blurredanddistortedvision  excessivehunger  stiffneck  irritability  visualdisturbances,Migraine
acidity  indigestion  headache  blurredanddistortedvision  excessivehunger  stiffneck  depression  visualdisturbances,Migraine
acidity  indigestion  headache  blurredanddistortedvision  excessivehunger  stiffneck  depression  irritability,Migraine
backpain  weaknessinlimbs  neckpain  dizziness  lossofbalance,Cervical spondylosis
backpain  weaknessinlimbs  neckpain  dizziness  lossofbalance,Cervical spondylosis
weaknessinlimbs  neckpain  dizziness  lossofbalance,Cervical spondylosis
backpain  neckpain  dizziness  lossofbalance,Cervical spondylosis
backpain  weaknessinlimbs  dizziness  lossofbalance,Cervical spondylosis
backpain  weaknessinlimbs  neckpain  lossofbalance,Cervical spondylosis
backpain  weaknessinlimbs  neckpain  dizziness,Cervical spondylosis
backpain  weaknessinlimbs  neckpain  dizziness  lossofbalance,Cervical spondylosis
weaknessinlimbs  neckpain  dizziness  lossofbalance,Cervical spondylosis
backpain  neckpain  dizziness  lossofbalance,Cervical spondylosis
vomiting  headache  weaknessofonebodyside  alteredsensorium,Paralysis (brain hemorrhage)
vomiting  headache  weaknessofonebodyside  alteredsensorium,Paralysis (brain hemorrhage)
headache  weaknessofonebodyside  alteredsensorium,Paralysis (brain hemorrhage)
vomiting  weaknessofonebodyside  alteredsensorium,Paralysis (brain hemorrhage)
vomiting  headache  alteredsensorium,Paralysis (brain hemorrhage)
vomiting  headache  weaknessofonebodyside,Paralysis (brain hemorrhage)
vomiting  headache  weaknessofonebodyside  alteredsensorium,Paralysis (brain hemorrhage)
headache  weaknessofonebodyside  alteredsensorium,Paralysis (brain hemorrhage)
vomiting  weaknessofonebodyside  alteredsensorium,Paralysis (brain hemorrhage)
vomiting  headache  alteredsensorium,Paralysis (brain hemorrhage)
itching  vomiting  fatigue  weightloss  highfever  yellowishskin  darkurine  abdominalpain,Jaundice
itching  vomiting  fatigue  weightloss  highfever  yellowishskin  darkurine  abdominalpain,Jaundice
vomiting  fatigue  weightloss  highfever  yellowishskin  darkurine  abdominalpain,Jaundice
itching  fatigue  weightloss  highfever  yellowishskin  darkurine  abdominalpain,Jaundice
itching  vomiting  weightloss  highfever  yellowishskin  darkurine  abdominalpain,Jaundice
itching  vomiting  fatigue  highfever  yellowishskin  darkurine  abdominalpain,Jaundice
itching  vomiting  fatigue  weightloss  yellowishskin  darkurine  abdominalpain,Jaundice
itching  vomiting  fatigue  weightloss  highfever  darkurine  abdominalpain,Jaundice
itching  vomiting  fatigue  weightloss  highfever  yellowishskin  abdominalpain,Jaundice
itching  vomiting  fatigue  weightloss  highfever  yellowishskin  darkurine,Jaundice
chills  vomiting  highfever  sweating  headache  nausea  musclepain,Malaria
chills  vomiting  highfever  sweating  headache  nausea  diarrhoea  musclepain,Malaria
chills  vomiting  highfever  sweating  headache  nausea  diarrhoea  musclepain,Malaria
vomiting  highfever  sweating  headache  nausea  diarrhoea  musclepain,Malaria
chills  highfever  sweating  headache  nausea  diarrhoea  musclepain,Malaria
chills  vomiting  sweating  headache  nausea  diarrhoea  musclepain,Malaria
chills  vomiting  highfever  headache  nausea  diarrhoea  musclepain,Malaria
chills  vomiting  highfever  sweating  nausea  diarrhoea  musclepain,Malaria
chills  vomiting  highfever  sweating  headache  diarrhoea  musclepain,Malaria
chills  vomiting  highfever  sweating  headache  nausea  musclepain,Malaria
itching  skinrash  fatigue  lethargy  highfever  headache  lossofappetite  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
skinrash  fatigue  lethargy  highfever  headache  lossofappetite  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  fatigue  lethargy  highfever  headache  lossofappetite  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  skinrash  lethargy  highfever  headache  lossofappetite  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  skinrash  fatigue  highfever  headache  lossofappetite  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  skinrash  fatigue  lethargy  headache  lossofappetite  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  skinrash  fatigue  lethargy  highfever  lossofappetite  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  skinrash  fatigue  lethargy  highfever  headache  mildfever  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  skinrash  fatigue  lethargy  highfever  headache  lossofappetite  swelledlymphnodes  malaise  redspotsoverbody,Chicken pox
itching  skinrash  fatigue  lethargy  highfever  headache  lossofappetite  mildfever  malaise  redspotsoverbody,Chicken pox
skinrash  chills  jointpain  vomiting  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  musclepain  redspotsoverbody,Dengue
skinrash  chills  jointpain  vomiting  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  redspotsoverbody,Dengue
skinrash  chills  jointpain  vomiting  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain,Dengue
skinrash  chills  jointpain  vomiting  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain  redspotsoverbody,Dengue
chills  jointpain  vomiting  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain  redspotsoverbody,Dengue
skinrash  jointpain  vomiting  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain  redspotsoverbody,Dengue
skinrash  chills  vomiting  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain  redspotsoverbody,Dengue
skinrash  chills  jointpain  fatigue  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain  redspotsoverbody,Dengue
skinrash  chills  jointpain  vomiting  highfever  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain  redspotsoverbody,Dengue
skinrash  chills  jointpain  vomiting  fatigue  headache  nausea  lossofappetite  painbehindtheeyes  backpain  malaise  musclepain  redspotsoverbody,Dengue
chills  vomiting  fatigue  highfever  nausea  constipation  abdominalpain  diarrhoea  toxiclook(typhos)  bellypain,Typhoid
chills  vomiting  fatigue  highfever  headache  constipation  abdominalpain  diarrhoea  toxiclook(typhos)  bellypain,Typhoid
chills  vomiting  fatigue  highfever  headache  nausea  abdominalpain  diarrhoea  toxiclook(typhos)  bellypain,Typhoid
chills  vomiting  fatigue  highfever  headache  nausea  constipation  diarrhoea  toxiclook(typhos)  bellypain,Typhoid
chills  vomiting  fatigue  highfever  headache  nausea  constipation  abdominalpain  toxiclook(typhos)  bellypain,Typhoid
chills  vomiting  fatigue  highfever  headache  nausea  constipation  abdominalpain  diarrhoea  bellypain,Typhoid
chills  vomiting  fatigue  highfever  headache  nausea  constipation  abdominalpain  diarrhoea  toxiclook(typhos),Typhoid
chills  vomiting  fatigue  highfever  headache  nausea  constipation  abdominalpain  diarrhoea  toxiclook(typhos)  bellypain,Typhoid
chills  vomiting  fatigue  highfever  headache  nausea  constipation  abdominalpain  diarrhoea  toxiclook(typhos)  bellypain,Typhoid
chills  fatigue  highfever  headache  nausea  constipation  abdominalpain  diarrhoea  toxiclook(typhos)  bellypain,Typhoid
jointpain  vomiting  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  vomiting  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
vomiting  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  vomiting  darkurine  nausea  lossofappetite  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  vomiting  yellowishskin  nausea  lossofappetite  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  vomiting  yellowishskin  darkurine  lossofappetite  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  vomiting  yellowishskin  darkurine  nausea  abdominalpain  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  vomiting  yellowishskin  darkurine  nausea  lossofappetite  diarrhoea  mildfever  yellowingofeyes  musclepain,hepatitis A
jointpain  vomiting  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  mildfever  yellowingofeyes  musclepain,hepatitis A
itching  fatigue  lethargy  yellowishskin  darkurine  lossofappetite  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  fatigue  lethargy  yellowishskin  darkurine  lossofappetite  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
fatigue  lethargy  yellowishskin  darkurine  lossofappetite  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  lethargy  yellowishskin  darkurine  lossofappetite  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  fatigue  yellowishskin  darkurine  lossofappetite  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  fatigue  lethargy  darkurine  lossofappetite  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  fatigue  lethargy  yellowishskin  lossofappetite  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  fatigue  lethargy  yellowishskin  darkurine  abdominalpain  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  fatigue  lethargy  yellowishskin  darkurine  lossofappetite  yellowurine  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
itching  fatigue  lethargy  yellowishskin  darkurine  lossofappetite  abdominalpain  yellowingofeyes  malaise  receivingbloodtransfusion  receivingunsterileinjections,Hepatitis B
fatigue  yellowishskin  nausea  lossofappetite  familyhistory,Hepatitis C
fatigue  yellowishskin  nausea  lossofappetite  yellowingofeyes  familyhistory,Hepatitis C
yellowishskin  nausea  lossofappetite  yellowingofeyes  familyhistory,Hepatitis C
fatigue  nausea  lossofappetite  yellowingofeyes  familyhistory,Hepatitis C
fatigue  yellowishskin  lossofappetite  yellowingofeyes  familyhistory,Hepatitis C
fatigue  yellowishskin  nausea  yellowingofeyes  familyhistory,Hepatitis C
fatigue  yellowishskin  nausea  lossofappetite  familyhistory,Hepatitis C
fatigue  yellowishskin  nausea  lossofappetite  yellowingofeyes,Hepatitis C
fatigue  yellowishskin  nausea  lossofappetite  yellowingofeyes  familyhistory,Hepatitis C
fatigue  yellowishskin  nausea  lossofappetite  yellowingofeyes  familyhistory,Hepatitis C
jointpain  vomiting  fatigue  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  yellowingofeyes,Hepatitis D
vomiting  fatigue  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  yellowingofeyes,Hepatitis D
jointpain  fatigue  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  yellowingofeyes,Hepatitis D
jointpain  vomiting  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  yellowingofeyes,Hepatitis D
jointpain  vomiting  fatigue  darkurine  nausea  lossofappetite  abdominalpain  yellowingofeyes,Hepatitis D
jointpain  vomiting  fatigue  yellowishskin  nausea  lossofappetite  abdominalpain  yellowingofeyes,Hepatitis D
jointpain  vomiting  fatigue  yellowishskin  darkurine  lossofappetite  abdominalpain  yellowingofeyes,Hepatitis D
jointpain  vomiting  fatigue  yellowishskin  darkurine  nausea  abdominalpain  yellowingofeyes,Hepatitis D
jointpain  vomiting  fatigue  yellowishskin  darkurine  nausea  lossofappetite  yellowingofeyes,Hepatitis D
jointpain  vomiting  fatigue  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain,Hepatitis D
jointpain  vomiting  fatigue  highfever  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  yellowingofeyes  coma  stomachbleeding,Hepatitis E
jointpain  vomiting  fatigue  highfever  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  yellowingofeyes  acuteliverfailure  coma  stomachbleeding,Hepatitis E
jointpain  vomiting  fatigue  highfever  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  yellowingofeyes  acuteliverfailure  coma  stomachbleeding,Hepatitis E
vomiting  fatigue  highfever  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  yellowingofeyes  acuteliverfailure  coma  stomachbleeding,Hepatitis E
jointpain  fatigue  highfever  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  yellowingofeyes  acuteliverfailure  coma  stomachbleeding,Hepatitis E
jointpain  vomiting  highfever  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  yellowingofeyes  acuteliverfailure  coma  stomachbleeding,Hepatitis E
jointpain  vomiting  fatigue  yellowishskin  darkurine  nausea  lossofappetite  abdominalpain  yellowingofeyes  acuteliverfailure  coma  stomachbleeding,Hepatitis E
jointpain  vomiting  fatigue  highfever  darkurine  nausea  lossofappetite  abdominalpain  yellowingofeyes  acuteliverfailure  coma  stomachbleeding,Hepatitis E
jointpain  vomiting  fatigue  highfever  yellowishskin  nausea  lossofappetite  abdominalpain  yellowingofeyes  acuteliverfailure  coma  stomachbleeding,Hepatitis E
jointpain  vomiting  fatigue  highfever  yellowishskin  darkurine  lossofappetite  abdominalpain  yellowingofeyes  acuteliverfailure  coma  stomachbleeding,Hepatitis E
vomiting  yellowishskin  abdominalpain  swellingofstomach  distentionofabdomen  historyofalcoholconsumption  fluidoverload,Alcoholic hepatitis
vomiting  yellowishskin  abdominalpain  swellingofstomach  distentionofabdomen  historyofalcoholconsumption  fluidoverload,Alcoholic hepatitis
yellowishskin  abdominalpain  swellingofstomach  distentionofabdomen  historyofalcoholconsumption  fluidoverload,Alcoholic hepatitis
vomiting  abdominalpain  swellingofstomach  distentionofabdomen  historyofalcoholconsumption  fluidoverload,Alcoholic hepatitis
vomiting  yellowishskin  swellingofstomach  distentionofabdomen  historyofalcoholconsumption  fluidoverload,Alcoholic hepatitis
vomiting  yellowishskin  abdominalpain  distentionofabdomen  historyofalcoholconsumption  fluidoverload,Alcoholic hepatitis
vomiting  yellowishskin  abdominalpain  swellingofstomach  historyofalcoholconsumption  fluidoverload,Alcoholic hepatitis
vomiting  yellowishskin  abdominalpain  swellingofstomach  distentionofabdomen  fluidoverload,Alcoholic hepatitis
vomiting  yellowishskin  abdominalpain  swellingofstomach  distentionofabdomen  historyofalcoholconsumption,Alcoholic hepatitis
vomiting  yellowishskin  abdominalpain  swellingofstomach  distentionofabdomen  historyofalcoholconsumption  fluidoverload,Alcoholic hepatitis
chills  vomiting  fatigue  weightloss  cough  highfever  breathlessness  sweating  lossofappetite  mildfever  yellowingofeyes  swelledlymphnodes  malaise  phlegm  chestpain  bloodinsputum,Tuberculosis
chills  vomiting  fatigue  weightloss  cough  highfever  breathlessness  sweating  lossofappetite  mildfever  yellowingofeyes  swelledlymphnodes  malaise  phlegm  chestpain  bloodinsputum,Tuberculosis
vomiting  fatigue  weightloss  cough  highfever  breathlessness  sweating  lossofappetite  mildfever  yellowingofeyes  swelledlymphnodes  malaise  phlegm  chestpain  bloodinsputum,Tuberculosis
chills  fatigue  weightloss  cough  highfever  breathlessness  sweating  lossofappetite  mildfever  yellowingofeyes  swelledlymphnodes  malaise  phlegm  chestpain  bloodinsputum,Tuberculosis
chills  vomiting  weightloss  cough  highfever  breathlessness  sweating  lossofappetite  mildfever  yellowingofeyes  swelledlymphnodes  malaise  phlegm  chestpain  bloodinsputum,Tuberculosis
chills  vomiting  fatigue  cough  highfever  breathlessness  sweating  lossofappetite  mildfever  yellowingofeyes  swelledlymphnodes  malaise  phlegm  chestpain  bloodinsputum,Tuberculosis
chills  vomiting  fatigue  weightloss  highfever  breathlessness  sweating  lossofappetite  mildfever  yellowingofeyes  swelledlymphnodes  malaise  phlegm  chestpain  bloodinsputum,Tuberculosis
chills  vomiting  fatigue  weightloss  cough  breathlessness  sweating  lossofappetite  mildfever  yellowingofeyes  swelledlymphnodes  malaise  phlegm  chestpain  bloodinsputum,Tuberculosis
chills  vomiting  fatigue  weightloss  cough  highfever  sweating  lossofappetite  mildfever  yellowingofeyes  swelledlymphnodes  malaise  phlegm  chestpain  bloodinsputum,Tuberculosis
chills  vomiting  fatigue  weightloss  cough  highfever  breathlessness  lossofappetite  mildfever  yellowingofeyes  swelledlymphnodes  malaise  phlegm  chestpain  bloodinsputum,Tuberculosis
continuoussneezing  chills  fatigue  cough  highfever  headache  swelledlymphnodes  malaise  phlegm  throatirritation  rednessofeyes  sinuspressure  runnynose  congestion  chestpain  lossofsmell  musclepain,Common Cold
continuoussneezing  chills  fatigue  cough  highfever  headache  swelledlymphnodes  malaise  phlegm  throatirritation  rednessofeyes  sinuspressure  runnynose  congestion  chestpain  lossofsmell  musclepain,Common Cold
chills  fatigue  cough  highfever  headache  swelledlymphnodes  malaise  phlegm  throatirritation  rednessofeyes  sinuspressure  runnynose  congestion  chestpain  lossofsmell  musclepain,Common Cold
continuoussneezing  fatigue  cough  highfever  headache  swelledlymphnodes  malaise  phlegm  throatirritation  rednessofeyes  sinuspressure  runnynose  congestion  chestpain  lossofsmell  musclepain,Common Cold
continuoussneezing  chills  cough  highfever  headache  swelledlymphnodes  malaise  phlegm  throatirritation  rednessofeyes  sinuspressure  runnynose  congestion  chestpain  lossofsmell  musclepain,Common Cold
continuoussneezing  chills  fatigue  highfever  headache  swelledlymphnodes  malaise  phlegm  throatirritation  rednessofeyes  sinuspressure  runnynose  congestion  chestpain  lossofsmell  musclepain,Common Cold
continuoussneezing  chills  fatigue  cough  headache  swelledlymphnodes  malaise  phlegm  throatirritation  rednessofeyes  sinuspressure  runnynose  congestion  chestpain  lossofsmell  musclepain,Common Cold
continuoussneezing  chills  fatigue  cough  highfever  swelledlymphnodes  malaise  phlegm  throatirritation  rednessofeyes  sinuspressure  runnynose  congestion  chestpain  lossofsmell  musclepain,Common Cold
continuoussneezing  chills  fatigue  cough  highfever  headache  malaise  phlegm  throatirritation  rednessofeyes  sinuspressure  runnynose  congestion  chestpain  lossofsmell  musclepain,Common Cold
continuoussneezing  chills  fatigue  cough  highfever  headache  swelledlymphnodes  phlegm  throatirritation  rednessofeyes  sinuspressure  runnynose  congestion  chestpain  lossofsmell  musclepain,Common Cold
chills  fatigue  cough  highfever  breathlessness  sweating  malaise  chestpain  fastheartrate  rustysputum,Pneumonia
chills  fatigue  cough  highfever  breathlessness  sweating  malaise  phlegm  chestpain  fastheartrate  rustysputum,Pneumonia
chills  fatigue  cough  highfever  breathlessness  sweating  malaise  phlegm  chestpain  fastheartrate  rustysputum,Pneumonia
fatigue  cough  highfever  breathlessness  sweating  malaise  phlegm  chestpain  fastheartrate  rustysputum,Pneumonia
